ID_imagen,Clase,Latitud,Longitud,defectuoso
1713375475926289.jpg,Informacion-verde,-32.56049043095128,-57.38581164232269,False
1713375495582147.jpg,Clasicas-(Prevencion),-32.56086996480357,-57.38401177114265,False
1713375505823887.jpg,Otras-(Informacion),-32.5612560768803,-57.38247915931992,False
1713375511203385.jpg,Clasicas-(Prevencion),-32.56127089562054,-57.38175682441778,False
1713375565514778.jpg,Clasicas-(Prevencion),-32.56146696219979,-57.37563540007313,False
1713375584585279.jpg,Clasicas-(Prevencion),-32.56149380393109,-57.37469774512995,True
1713376683278959.jpg,Clasicas-(Prevencion),-32.56614253441853,-57.31305656225214,True
1713377318164653.jpg,Clasicas-(Prevencion),-32.57786547585824,-57.28717941835509,False
1713377532758495.jpg,Clasicas-(Prevencion),-32.57332555285139,-57.28055323018993,True
1713378661038927.jpg,Otras-(Prevencion),-32.54830883554334,-57.20778997779582,False
1713378677660171.jpg,Otras-(Prevencion),-32.54759277200996,-57.2067147755554,False
1713379660899700.jpg,Clasicas-(Prevencion),-32.51783129475266,-57.17876777132597,True
1713379702659688.jpg,Clasicas-(Prevencion),-32.51750060921171,-57.17621719613577,False
1713379843319453.jpg,Otras-(Prevencion),-32.52005212729996,-57.16773909998854,False
1713379851112810.jpg,Clasicas-(Prevencion),-32.52016484780253,-57.16740909285345,False
1713379861871778.jpg,Otras-(Prevencion),-32.5204011426874,-57.16677684133049,False
1713379868147847.jpg,Clasicas-(Prevencion),-32.52057613446352,-57.16620926118392,False
1713379868147847.jpg,Clasicas-(Prevencion),-32.52079197793638,-57.16623701711935,False
1713379883734557.jpg,Otras-(Reglamentacion),-32.52063860425699,-57.1659160994969,False
1713379900907532.jpg,Clasicas-(Prevencion),-32.52075250301217,-57.16626609025206,True
1713380118018022.jpg,Otras-(Prevencion),-32.52798074974941,-57.1586001946984,False
1713380155605447.jpg,Clasicas-(Prevencion),-32.52899498579928,-57.15756116453785,False
1713380317162396.jpg,PARE,-32.52369620143516,-57.15303664224993,True
1713380345990913.jpg,Otras-(Informacion),-32.52336132063734,-57.15334228780488,False
1713380475305441.jpg,Clasicas-(Prevencion),-32.52302236521823,-57.15438463487466,False
1713380512789408.jpg,Clasicas-(Prevencion),-32.52209760903501,-57.15656971516597,True
1713380518651667.jpg,Clasicas-(Prevencion),-32.52196596717241,-57.15690905588728,False
1713380601171568.jpg,Clasicas-(Prevencion),-32.52191538752619,-57.15728833501805,False
1713380613861635.jpg,Clasicas-(Prevencion),-32.52202137625457,-57.15698094875986,False
1713380666484019.jpg,Clasicas-(Prevencion),-32.52294438456543,-57.15479376156912,False
1713380828765092.jpg,Clasicas-(Prevencion),-32.5245674575393,-57.15119709772111,True
1713380925078522.jpg,Clasicas-(Prevencion),-32.52984028979493,-57.14672298717285,True
1713381054944755.jpg,Clasicas-(Prevencion),-32.5338865295014,-57.13752585908112,False
1713381325712058.jpg,Clasicas-(Prevencion),-32.55784814177005,-57.12219442445823,True
1713381503028102.jpg,Clasicas-(Prevencion),-32.56893374470629,-57.12136487357824,True
